iter	RMSE
0	13.44017409
1	13.2797909
2	13.15143243
3	13.02224687
4	12.83601859
5	12.74009619
6	12.57857872
7	12.41844839
8	12.35962474
9	12.20251385
10	12.11043991
11	11.95865018
12	11.82180678
13	11.7189705
14	11.59798747
15	11.55525967
16	11.43451145
17	11.3349612
18	11.24572845
19	11.10981425
20	10.98886425
21	10.87447168
22	10.73506941
23	10.6371867
24	10.47437391
25	10.34590676
26	10.22007857
27	10.11080463
28	10.00610462
29	9.897488995
30	9.821422542
31	9.686401864
32	9.560557311
33	9.460261839
34	9.372498222
35	9.287884194
36	9.247362524
37	9.15106892
38	9.038007056
39	8.950439341
40	8.859976467
41	8.770657666
42	8.689723583
43	8.573415384
44	8.459329595
45	8.42670388
46	8.337868946
47	8.271170124
48	8.159851161
49	8.078815015
50	8.00378048
51	7.924737733
52	7.845960882
53	7.755818693
54	7.678623573
55	7.601352437
56	7.521122597
57	7.445253552
58	7.378464455
59	7.307449408
60	7.222106727
61	7.161491395
62	7.090902102
63	7.038789442
64	6.970473457
65	6.899270014
66	6.808130327
67	6.740199433
68	6.66318568
69	6.591578066
70	6.540716814
71	6.474813612
72	6.416267823
73	6.357316392
74	6.320189276
75	6.286825823
76	6.234598097
77	6.188747107
78	6.14615141
79	6.117008268
80	6.065239658
81	6.009978026
82	5.9519834
83	5.904060492
84	5.840144811
85	5.804129534
86	5.765695276
87	5.694433458
88	5.634631708
89	5.594255186
90	5.556857495
91	5.516799573
92	5.471541398
93	5.433422503
94	5.381028554
95	5.335061527
96	5.300394477
97	5.260665026
98	5.21129973
99	5.186949672
100	5.139354243
101	5.099148706
102	5.057810751
103	5.023067417
104	5.007161997
105	4.97350909
106	4.920209416
107	4.88465147
108	4.851172233
109	4.807252481
110	4.775338044
111	4.7237608
112	4.67852405
113	4.638768802
114	4.59814427
115	4.555562827
116	4.517531611
117	4.484892746
118	4.447423738
119	4.402644872
120	4.365111949
121	4.334614436
122	4.313013686
123	4.274311101
124	4.238693403
125	4.225672015
126	4.199178469
127	4.166984403
128	4.144156103
129	4.117212358
130	4.090550539
131	4.048120024
132	4.023448773
133	3.99488556
134	3.963511959
135	3.925560191
136	3.888224552
137	3.86376913
138	3.845693405
139	3.821964778
140	3.790912986
141	3.755729174
142	3.733160858
143	3.708532393
144	3.675312406
145	3.637425852
146	3.605702814
147	3.572973744
148	3.549231373
149	3.516838085
150	3.487547778
151	3.467019934
152	3.438503903
153	3.421559621
154	3.399079844
155	3.37045094
156	3.359762682
157	3.329522458
158	3.30930125
159	3.288446951
160	3.264330998
161	3.238023161
162	3.213468284
163	3.195255972
164	3.174041508
165	3.152363049
166	3.132395413
167	3.111494992
168	3.094478715
169	3.074797872
170	3.056040743
171	3.030391635
172	3.016135639
173	2.998395996
174	2.986844091
175	2.971890595
176	2.949489672
177	2.933201923
178	2.916926912
179	2.903357845
180	2.885111549
181	2.865108608
182	2.854369756
183	2.836649633
184	2.823470812
185	2.80982254
186	2.794018846
187	2.77924365
188	2.764284483
189	2.740572893
190	2.729258791
191	2.708290316
192	2.695507096
193	2.673598707
194	2.653425855
195	2.639062747
196	2.630967867
197	2.615600253
198	2.596555111
199	2.582019471
