iter	Passed	Remaining
0	9	1875
1	20	2055
2	30	2022
3	40	1969
4	49	1926
5	58	1895
6	67	1869
7	76	1840
8	84	1785
9	93	1774
10	101	1741
11	107	1689
12	117	1692
13	127	1690
14	136	1681
15	143	1646
16	152	1637
17	161	1630
18	167	1593
19	186	1677
20	191	1629
21	207	1676
22	218	1679
23	228	1679
24	235	1648
25	245	1643
26	261	1678
27	271	1664
28	281	1658
29	290	1647
30	299	1633
31	308	1621
32	317	1608
33	337	1648
34	346	1634
35	356	1623
36	360	1586
37	369	1575
38	379	1565
39	390	1562
40	399	1548
41	413	1555
42	423	1546
43	443	1571
44	452	1559
45	456	1528
46	465	1515
47	474	1501
48	481	1484
49	490	1472
50	499	1460
51	518	1476
52	526	1460
53	531	1437
54	540	1425
55	549	1414
56	559	1404
57	585	1434
58	611	1460
59	626	1461
60	636	1449
61	646	1438
62	671	1461
63	681	1449
64	690	1433
65	699	1419
66	709	1407
67	717	1392
68	739	1404
69	750	1393
70	760	1382
71	778	1383
72	787	1370
73	797	1357
74	807	1345
75	812	1325
76	819	1309
77	828	1296
78	837	1283
79	847	1270
80	856	1258
81	865	1245
82	874	1232
83	898	1240
84	908	1228
85	917	1216
86	926	1203
87	944	1202
88	955	1192
89	962	1176
90	979	1173
91	995	1168
92	1005	1157
93	1015	1144
94	1025	1133
95	1036	1122
96	1048	1113
97	1058	1101
98	1068	1090
99	1077	1077
100	1086	1065
101	1096	1053
102	1111	1046
103	1120	1034
104	1125	1018
105	1135	1006
106	1156	1005
107	1165	993
108	1174	980
109	1196	979
110	1203	965
111	1222	960
112	1231	948
113	1240	935
114	1262	933
115	1271	921
116	1281	908
117	1290	896
118	1299	884
119	1323	882
120	1334	871
121	1370	876
122	1381	865
123	1393	854
124	1407	844
125	1414	830
126	1425	819
127	1437	808
128	1447	796
129	1466	789
130	1482	780
131	1507	776
132	1523	767
133	1542	759
134	1553	747
135	1563	735
136	1582	727
137	1598	718
138	1608	706
139	1628	697
140	1640	686
141	1658	677
142	1669	665
143	1680	653
144	1690	641
145	1702	629
146	1718	619
147	1733	609
148	1748	598
149	1758	586
150	1769	574
151	1780	562
152	1790	550
153	1800	537
154	1812	526
155	1824	514
156	1829	501
157	1838	488
158	1849	476
159	1861	465
160	1871	453
161	1882	441
162	1893	429
163	1906	418
164	1916	406
165	1936	396
166	1947	384
167	1980	377
168	1991	365
169	2001	353
170	2026	343
171	2037	331
172	2047	319
173	2074	310
174	2086	298
175	2099	286
176	2111	274
177	2123	262
178	2142	251
179	2153	239
180	2162	226
181	2173	214
182	2187	203
183	2199	191
184	2207	178
185	2215	166
186	2225	154
187	2235	142
188	2246	130
189	2256	118
190	2268	106
191	2281	95
192	2292	83
193	2304	71
194	2317	59
195	2340	47
196	2354	35
197	2377	24
198	2388	12
199	2407	0
